datetime, temperature [C], salinity [psu], sound speed velocity [m/s]
2020-01-21 14:38:49,29.51,0.00,1508.180
2020-01-21 14:38:50,29.51,0.00,1508.185
2020-01-21 14:38:51,29.52,0.00,1508.185
2020-01-21 14:38:52,29.52,0.00,1508.185
2020-01-21 14:38:53,29.52,0.00,1508.187
2020-01-21 14:38:54,29.52,0.00,1508.187
2020-01-21 14:38:55,29.52,0.00,1508.192
2020-01-21 14:38:56,29.52,0.00,1508.192
2020-01-21 14:38:57,29.52,0.00,1508.196
2020-01-21 14:38:58,29.52,0.00,1508.196
2020-01-21 14:38:59,29.52,0.00,1508.196
2020-01-21 14:39:00,29.52,0.00,1508.199
2020-01-21 14:39:01,29.52,0.00,1508.199
2020-01-21 14:39:02,29.52,0.00,1508.199
2020-01-21 14:39:03,29.52,0.00,1508.204
2020-01-21 14:39:04,29.52,0.00,1508.204
2020-01-21 14:39:05,29.52,0.00,1508.204
2020-01-21 14:39:06,29.52,0.00,1508.204
2020-01-21 14:39:07,29.52,0.00,1508.208
2020-01-21 14:39:08,29.52,0.00,1508.208
2020-01-21 14:39:09,29.53,0.00,1508.211
2020-01-21 14:39:10,29.53,0.00,1508.211
2020-01-21 14:39:11,29.53,0.00,1508.215
2020-01-21 14:39:12,29.53,0.00,1508.220
2020-01-21 14:39:13,29.53,0.00,1508.220
2020-01-21 14:39:14,29.53,0.00,1508.222
2020-01-21 14:39:15,29.53,0.00,1508.227
2020-01-21 14:39:16,29.53,0.00,1508.227
2020-01-21 14:39:17,29.54,0.00,1508.232
2020-01-21 14:39:18,29.54,0.00,1508.232
